TERM	DOID
"aqueous misdirection"	"DOID11149"
"sarcoma"	"DOID1115"
"connective and soft tissue neoplasm"	"DOID1115"
"tumor of soft tissue and skeleton"	"DOID1115"
"cholecystolithiasis"	"DOID11151"
"miliaria rubra"	"DOID11153"
"miliaria crystallina (disorder)"	"DOID11153"
"miliaria rubra"	"DOID11153"
"miliaria rubra"	"DOID11153"
"miliaria rubra"	"DOID11153"
"prickly heat"	"DOID11153"
"prickly heat (disorder)"	"DOID11153"
"prickly heat - miliaria"	"DOID11153"
"prickly heat nos (disorder)"	"DOID11153"
"sudamina"	"DOID11153"
"hypohidrosis"	"DOID11155"
"hypohidrosis (disorder)"	"DOID11155"
"oligohidrosis"	"DOID11155"
"oligohidrosis"	"DOID11155"
"anhidrosis"	"DOID11156"
"absence of sweating (finding)"	"DOID11156"
"adiaphoresis"	"DOID11156"
"anhidrosis (disorder)"	"DOID11156"
"pertussis"	"DOID1116"
"bordetella infection"	"DOID1116"
"wc - whooping cough"	"DOID1116"
"whooping cough"	"DOID1116"
"neonatal respiratory failure"	"DOID11161"
"neonatal respiratory failure (disorder)"	"DOID11161"
"respiratory failure of newborn"	"DOID11161"
"respiratory failure of newborn"	"DOID11161"
"respiratory failure"	"DOID11162"
"acute and chronic respiratory failure"	"DOID11162"
"acute respiratory failure"	"DOID11162"
"acute-on-chronic respiratory failure (disorder)"	"DOID11162"
"chronic respiratory failure"	"DOID11162"
"respiratory insufficiency/failure"	"DOID11162"
"band keratopathy"	"DOID11164"
"band-shaped keratopathy"	"DOID11164"
"band-shaped keratopathy (disorder)"	"DOID11164"
"common wart"	"DOID11165"
"anogenital venereal wart"	"DOID11168"
"anogenital human papilloma virus infectious disease"	"DOID11168"
"anogenital warts (disorder)"	"DOID11168"
"genital wart virus infectious disease"	"DOID11168"
"genital warts"	"DOID11168"
"venereal wart"	"DOID11168"
"enophthalmos"	"DOID11175"
"enophthalmos (disorder)"	"DOID11175"
"enophthalmos nos (disorder)"	"DOID11175"
"enophthalmos, unspecified as to cause"	"DOID11175"
"total internal ophthalmoplegia"	"DOID11177"
"total internal ophthalmoplegia (disorder)"	"DOID11177"
"total or complete internal ophthalmoplegia"	"DOID11177"
"non-suppurative otitis media"	"DOID11180"
"non supp. otitis media"	"DOID11180"
"non-suppurative otitis media (disorder)"	"DOID11180"
"non-suppurative otitis media nos (disorder)"	"DOID11180"
"nonsuppurative otitis media (disorder)"	"DOID11180"
"nonsuppurative otitis media, not specified as acute or chronic"	"DOID11180"
"unspecified non-suppurative otitis media (disorder)"	"DOID11180"
"serous glue ear"	"DOID11181"
"acute conjunctivitis"	"DOID11184"
"allescheriosis"	"DOID11186"
"allescheriosis (disorder)"	"DOID11186"
"allescheriosis [petriellidosis]"	"DOID11186"
"petriellidosis"	"DOID11186"
"pulp degeneration"	"DOID11189"
"pseudomembranous conjunctivitis"	"DOID11190"
"pseudomembranous conjunctivitis"	"DOID11190"
"pseudomembranous conjunctivitis (disorder)"	"DOID11190"
"syndactyly"	"DOID11193"
"chromosome 2q35 duplication syndrome"	"DOID11193"
"symphalangism"	"DOID11193"
"symphalangy (disorder)"	"DOID11193"
"webbing of digits"	"DOID11193"
"acute laryngopharyngitis"	"DOID11195"
"acute laryngopharyngitis (disorder)"	"DOID11195"
"serous conjunctivitis except viral"	"DOID11197"
"serous conjunctivitis, except viral (disorder)"	"DOID11197"
"digeorge syndrome"	"DOID11198"
"digeorge sequence (disorder)"	"DOID11198"
"digeorge's syndrome"	"DOID11198"
"pharyngeal pouch syndrome"	"DOID11198"
"hypoparathyroidism"	"DOID11199"
"esophageal varix"	"DOID112"
"bleeding esophageal varices"	"DOID112"
"bleeding esophageal varices (disorder)"	"DOID112"
"bleeding oesophageal varices"	"DOID112"
"esophageal varices"	"DOID112"
"esophageal varices in disease classified elsewhere, with bleeding"	"DOID112"
"esophageal varices with bleeding"	"DOID112"
"esophageal varices with bleeding in disease ec (disorder)"	"DOID112"
"esophageal varices without bleeding"	"DOID112"
"esophageal varices without bleeding (disorder)"	"DOID112"
"esophageal varices without mention of bleeding"	"DOID112"
"t cell deficiency"	"DOID11200"
"parathyroid gland disease"	"DOID11201"
"disease of parathyroid glands"	"DOID11201"
"primary hyperparathyroidism"	"DOID11202"
"familial benign hypercalcemia (disorder)"	"DOID11202"
"familial primary hyperparathyroidism"	"DOID11202"
"primary hyperparathyroidism (disorder)"	"DOID11202"
"angelucci's syndrome"	"DOID11203"
"acute atopic conjunctivitis"	"DOID11203"
"acute atopic conjunctivitis"	"DOID11203"
"acute atopic conjunctivitis"	"DOID11203"
"acute atopic conjunctivitis (disorder)"	"DOID11203"
"angelucci syndrome"	"DOID11203"
"allergic conjunctivitis"	"DOID11204"
"opioid abuse"	"DOID11206"
"buphthalmos"	"DOID11211"
"simple buphthalmos"	"DOID11211"
"hydrophthalmos"	"DOID11212"
"acute contagious conjunctivitis"	"DOID11213"
"acute contagious conjunctivitis (disorder)"	"DOID11213"
"contagious opthalmia"	"DOID11213"
"pink eye"	"DOID11213"
"pink eye"	"DOID11213"
"pinkeye"	"DOID11213"
"pinkeye"	"DOID11213"
"chronic tympanitis"	"DOID11217"
"chronic myringitis without mention of otitis media"	"DOID11217"
"chronic tympanitis (disorder)"	"DOID11217"
"conjunctival folliculosis"	"DOID11219"
"acute follicular conjunctivitis"	"DOID11219"
"acute follicular conjunctivitis (disorder)"	"DOID11219"
"small intestine diverticulitis"	"DOID11223"
"diverticulosis of small intestine with hemorrhage"	"DOID11223"
"acute hemorrhagic conjunctivitis"	"DOID11227"
"apollo disease"	"DOID11227"
"epidemic hemorrhagic conjunctivitis"	"DOID11227"
"spondyloarthropathy"	"DOID1123"
"spondarthropathy"	"DOID1123"
"spondylarthrosis"	"DOID1123"
"acute orbital inflammation"	"DOID11230"
"acute inflammation of orbit"	"DOID11230"
"acute inflammation of orbit (disorder)"	"DOID11230"
"acute inflammation of orbit nos (disorder)"	"DOID11230"
"acute inflammation of orbit, unspecified"	"DOID11230"
"unspecified acute orbit inflammation (disorder)"	"DOID11230"
"orbital periostitis"	"DOID11231"
"orbital periostitis (disorder)"	"DOID11231"
"orbital osteomyelitis"	"DOID11232"
"orbital osteomyelitis (disorder)"	"DOID11232"
"orbital tenonitis"	"DOID11233"
"tenonitis (disorder)"	"DOID11233"
"orbital cellulitis"	"DOID11234"
"orbital cellulitis (disorder)"	"DOID11234"
"chronic adhesive otitis media"	"DOID11235"
"appendix cancer"	"DOID11239"
"cancer of the appendix"	"DOID11239"
"malignant neoplasm of appendix vermiformis"	"DOID11239"
"malignant tumor of appendix (disorder)"	"DOID11239"
"malignant tumor of the appendix"	"DOID11239"
"appendiceal neoplasm"	"DOID11240"
"appendix neoplasm"	"DOID11240"
"neoplasm of appendix (disorder)"	"DOID11240"
"appendix lymphoma"	"DOID11241"
"appendiceal lymphoma"	"DOID11241"
"plethora of newborn"	"DOID11242"
"neonatal polycythemia (disorder)"	"DOID11242"
"anemia of prematurity"	"DOID11243"
"anemia of prematurity (disorder)"	"DOID11243"
"neonatal anemia"	"DOID11244"
"anemia neonatal"	"DOID11244"
"neonatal anemia (disorder)"	"DOID11244"
"neonatal anemia, nos"	"DOID11244"
"neonatal anemia, nos"	"DOID11244"
"neonatal anemia, nos"	"DOID11244"
"transient neonatal neutropenia"	"DOID11245"
"transient neonatal neutropenia (disorder)"	"DOID11245"
"transient neonatal neutropenia nos (disorder)"	"DOID11245"
"dic in newborn"	"DOID11246"
"disseminated intravascular coagulation in newborn"	"DOID11246"
"disseminated intravascular coagulation in newborn (disorder)"	"DOID11246"
"disseminated intravascular coagulation"	"DOID11247"
"defibrination syndrome"	"DOID11247"
"dic"	"DOID11247"
"diffuse or disseminated intravascular coagulation"	"DOID11247"
"vitamin k deficiency hemorrhagic disease"	"DOID11249"
"deficiency of vitamin k"	"DOID11249"
"deficiency of vitamin k (disorder)"	"DOID11249"
"vitamin k deficiency"	"DOID11249"
"vitamin k deficiency (disorder)"	"DOID11249"
"microcytic anemia"	"DOID11252"
"brill-zinsser disease"	"DOID11254"
"brill zinsser disease"	"DOID11254"
"brill's disease"	"DOID11254"
"brill-zinsser disease (disorder)"	"DOID11254"
"recrudescent typhus"	"DOID11254"
"typhus"	"DOID11256"
"endemic flea-borne typhus"	"DOID11256"
"endemic typhus fever"	"DOID11256"
"epidemic louse-borne typhus"	"DOID11256"
"exanthematic typhus fever nos"	"DOID11256"
"flea typhus (disorder)"	"DOID11256"
"louse-borne [epidemic] typhus"	"DOID11256"
"murine [endemic] typhus"	"DOID11256"
"typhus fever (disorder)"	"DOID11256"
"social phobia"	"DOID11257"
"cat-scratch disease"	"DOID11258"
"benign lymphoreticulosis"	"DOID11258"
"cat scratch fever"	"DOID11258"
"debre's syndrome"	"DOID11258"
"debre-mollaret syndrome"	"DOID11258"
"foshay-mollaret cat scratch fever"	"DOID11258"
"rabies"	"DOID11260"
"lyssa"	"DOID11260"
"ornithosis"	"DOID11262"
"psittacosis"	"DOID11262"
"trachoma"	"DOID11265"
"active stage trachoma"	"DOID11265"
"trachoma dubium"	"DOID11265"
"hemorrhagic fever with renal syndrome"	"DOID11266"
"hemorrhagic fever, russian"	"DOID11266"
"hemorrhagic nephrosonephritis"	"DOID11266"
"hfrs"	"DOID11266"
"puumala virus nephropathy (disorder)"	"DOID11266"
"keratomalacia"	"DOID11267"
"chronic apical periodontitis"	"DOID11269"
"chronic apical periodontitis (disorder)"	"DOID11269"
"chronic apical periodontitis nos (disorder)"	"DOID11269"
"plummer's disease"	"DOID11277"
"plummer disease"	"DOID11277"
"toxic nodular goiter"	"DOID11277"
"toxic nodular goiter (disorder)"	"DOID11277"
"toxic nodular goiter nos (disorder)"	"DOID11277"
"toxic nodular goiter unspecified (disorder)"	"DOID11277"
"solar retinopathy"	"DOID11282"
"solar retinitis"	"DOID11282"
"peripheral scars of retina"	"DOID11283"
"tick paralysis"	"DOID11285"
"tick paralysis"	"DOID11285"
"tick paralysis (disorder)"	"DOID11285"
"ventilation pneumonitis"	"DOID11289"
"air-conditioner and humidifier lung (disorder)"	"DOID11289"
"humidifier lung (disorder)"	"DOID11289"
"pituitary apoplexy"	"DOID1129"
"pituitary apoplexy (disorder)"	"DOID1129"
"arteriovenous malformation"	"DOID11294"
"arteriovenous hemangioma (disorder)"	"DOID11294"
"cirsoid aneurysm"	"DOID11294"
"racemose aneurysm (morphologic abnormality)"	"DOID11294"
"racemose angioma"	"DOID11294"
"racemose hemangioma (morphologic abnormality)"	"DOID11294"
"retinal microaneurysm"	"DOID11295"
"retinal microaneurysm (disorder)"	"DOID11295"
"retinal microaneurysms nos"	"DOID11295"
"retinal microaneurysms nos (disorder)"	"DOID11295"
"vertebral artery occlusion"	"DOID11299"
"occlusion and stenosis of vertebral artery"	"DOID11299"
"pituitary infarct"	"DOID1130"
"pituitary infarction"	"DOID1130"
"pituitary infarction (disorder)"	"DOID1130"
"cercarial dermatitis"	"DOID11302"
"cutaneous schistosomiasis"	"DOID11302"
"sea bather's eruption (disorder)"	"DOID11302"
"mobitz type ii atrioventricular block"	"DOID11312"
"mobitz (type) ii atrioventricular block"	"DOID11312"
"mobitz ii atrioventricular block"	"DOID11312"
"mobitz type ii atrioventricular block (disorder)"	"DOID11312"
"african histoplasmosis"	"DOID11315"
"histoplasmosis retinitis"	"DOID11316"
"histoplasmosis with retinitis (disorder)"	"DOID11316"
"kyasanur forest disease"	"DOID11320"
"schizophreniform disorder"	"DOID11328"
"ainhum"	"DOID11329"
"ainhum (disorder)"	"DOID11329"
"dactylolysis spontanea"	"DOID11329"
"erysipelas"	"DOID11330"
"erysipelas (disorder)"	"DOID11330"
"erysipelas (disorder)"	"DOID11330"
"sarcoidosis"	"DOID11335"
"boeck sarcoid"	"DOID11335"
"lymphogranulomatosis"	"DOID11335"
"rhinoscleroma"	"DOID11336"
"rhinoscleroma (disorder)"	"DOID11336"
"lemierre's syndrome"	"DOID11337"
"human necrobacillosis"	"DOID11337"
"lemierre syndrome"	"DOID11337"
"postanginal sepsis"	"DOID11337"
"tetanus"	"DOID11338"
"clostridial tetanus"	"DOID11338"
"infection due to clostridium tetani (disorder)"	"DOID11338"
"tetanus (disorder)"	"DOID11338"
"pneumocystosis"	"DOID11339"
"pneumocystis carinii pneumonia"	"DOID11339"
"pneumocystis jirovecii pneumonia"	"DOID11339"
"pneumocystis pneumonia"	"DOID11339"
"pneumocystosis"	"DOID11339"
"pneumocystosis pneumonia"	"DOID11339"
"pulmonary pneumocystosis (disorder)"	"DOID11339"
"gingival recession"	"DOID1134"
"gingival recession"	"DOID1134"
"gingival recession"	"DOID1134"
"gingival recession (disorder)"	"DOID1134"
"gingival recession nos (disorder)"	"DOID1134"
"gingival recession, localized"	"DOID1134"
"gingival recession, unspecified"	"DOID1134"
"localized gingival recession"	"DOID1134"
"localized gingival recession (disorder)"	"DOID1134"
"minimal gingival recession"	"DOID1134"
"moderate gingival recession"	"DOID1134"
"severe gingival recession"	"DOID1134"
"arcus senilis"	"DOID11342"
"arcus of cornea (disorder)"	"DOID11342"
"corneal arcus"	"DOID11342"
"scleral disease"	"DOID11343"
"disorder of sclera (disorder)"	"DOID11343"
"bladder diverticulum"	"DOID11353"
"diverticulum - bladder"	"DOID11353"
"diverticulum - bladder"	"DOID11353"
"diverticulum of bladder"	"DOID11353"
"diverticulum of bladder"	"DOID11353"
"diverticulum of bladder"	"DOID11353"
"diverticulum of bladder (disorder)"	"DOID11353"
"diverticulum of bladder (disorder) [ambiguous]"	"DOID11353"
"diverticulum of bladder nos (disorder)"	"DOID11353"
"stone in bladder diverticulum"	"DOID11354"
"calculus in diverticulum of bladder"	"DOID11354"
"calculus in diverticulum of bladder (disorder)"	"DOID11354"
"bladder calculus"	"DOID11355"
"phlebotomus fever"	"DOID11360"
"pappataci fever"	"DOID11360"
"sandfly fever"	"DOID11360"
"sandfly-borne arboviral fever"	"DOID11360"
"sandfly-borne bunyavirus fever (disorder)"	"DOID11360"
"sandfly-borne phleboviral disease"	"DOID11360"
"lens subluxation"	"DOID11364"
"lens subluxation"	"DOID11364"
"lens subluxation"	"DOID11364"
"subluxation of lens"	"DOID11364"
"subluxation of lens (disorder)"	"DOID11364"
"congenital aphakia"	"DOID11367"
"aphakia, congenital primary"	"DOID11367"
"congenital absence of lens"	"DOID11367"
"congenital aphakia"	"DOID11367"
"congenital aphakia"	"DOID11367"
"congenital aphakia (disorder)"	"DOID11367"
"functional diarrhea"	"DOID11371"
"functional diarrhea (disorder)"	"DOID11371"
"megacolon"	"DOID11372"
"dilatation of colon"	"DOID11372"
"megacolon"	"DOID11372"
"megacolon excluding hirschsprung's disease"	"DOID11372"
"megacolon excluding hirschsprung's disease"	"DOID11372"
"megacolon excluding hirschsprung's disease"	"DOID11372"
"megacolon excluding hirschsprung's disease (disorder)"	"DOID11372"
"megacolon nos (disorder)"	"DOID11372"
"megacolon, not hirschsprung's (disorder)"	"DOID11372"
"megacolon, other than hirschsprung's"	"DOID11372"
"anal spasm"	"DOID11374"
"anal spasm (disorder)"	"DOID11374"
"anal spasm nos (disorder)"	"DOID11374"
"gnathomiasis"	"DOID11379"
"gnathostomiasis"	"DOID11379"
"infectious disease by gnathostoma (disorder)"	"DOID11379"
"spinal meningioma"	"DOID1138"
"spinal cord meningioma"	"DOID1138"
"spinal meningioma (disorder)"	"DOID1138"
"corneal neovascularization"	"DOID11382"
"corneal neovascularization"	"DOID11382"
"corneal neovascularization (disorder)"	"DOID11382"
"corneal neovascularization nos (disorder)"	"DOID11382"
"corneal neovascularization, unspecified"	"DOID11382"
"unspecified corneal neovascularization (disorder)"	"DOID11382"
"cryptorchidism"	"DOID11383"
"cryptorchism"	"DOID11383"
"undescended testicle"	"DOID11383"
"undescended testicles"	"DOID11383"
"undescended testis"	"DOID11383"
"expressive language disorder"	"DOID11385"
"developmental expressive language disorder"	"DOID11385"
"epidural abscess"	"DOID11387"
"abscess epidural"	"DOID11387"
"epidural abscess"	"DOID11387"
"epidural abscess (disorder)"	"DOID11387"
"subdural empyema"	"DOID11389"
"subdural abscess (disorder)"	"DOID11389"
"cerebral arteritis"	"DOID11390"
"cerebral arteritis (disorder)"	"DOID11390"
"adult respiratory distress syndrome"	"DOID11394"
"adult rds"	"DOID11394"
"ards"	"DOID11394"
"non-cardiogenic pulmonary edema (disorder)"	"DOID11394"
"shock lung"	"DOID11394"
"pulmonary edema"	"DOID11396"
"heart disease"	"DOID114"
"spinal canal and spinal cord meningioma"	"DOID1140"
"pyelonephritis"	"DOID11400"
"xanthogranulomatous pyelonephritis"	"DOID11401"
"xanthogranulomatous pyelonephritis"	"DOID11401"
"xanthogranulomatous pyelonephritis (disorder)"	"DOID11401"
"diphtheria"	"DOID11405"
"corynebacterium infection"	"DOID11405"
"choroiditis"	"DOID11406"
"alternating exotropia"	"DOID1142"
"fallopian tube endometriosis"	"DOID11424"
"endometriosis of fallopian tube"	"DOID11424"
"endometriosis of fallopian tube (disorder)"	"DOID11424"
"endosalpingiosis"	"DOID11427"
"endosalpingiosis (disorder)"	"DOID11427"
"endometriosis of intestine"	"DOID11428"
"endometriosis of pelvic peritoneum"	"DOID11429"
"endometriosis of pelvic peritoneum (disorder)"	"DOID11429"
"endometriosis of the pelvic peritoneum nos (disorder)"	"DOID11429"
"exotropia"	"DOID1143"
"divergent concomitant strabismus"	"DOID1143"
"divergent concomitant strabismus (disorder)"	"DOID1143"
"divergent strabismus"	"DOID1143"
"exotropia (disorder)"	"DOID1143"
"exotropia (disorder)"	"DOID1143"
"exotropia nos (disorder)"	"DOID1143"
"exotropia, unspecified"	"DOID1143"
"unspecified exotropia (disorder)"	"DOID1143"
"endometriosis in scar of skin"	"DOID11430"
"endometriosis in scar of skin (disorder)"	"DOID11430"
"endometriosis of rectovaginal septum and vagina"	"DOID11431"
"endometriosis of rectovaginal septum and vagina (disorder)"	"DOID11431"
"endometriosis of the rectovaginal septum and vagina nos (disorder)"	"DOID11431"
"endometriosis of ovary"	"DOID11432"
"ovarian endometriosis"	"DOID11432"
"middle ear cholesteatoma"	"DOID11433"
"cholesteatoma of middle ear (disorder)"	"DOID11433"
"cholesteatoma of the middle ear"	"DOID11433"
"cholesterolosis of middle ear (disorder)"	"DOID11433"
"epidermosis of ear"	"DOID11433"
"epidermosis of middle ear"	"DOID11433"
"unspecified cholesteatoma (morphologic abnormality)"	"DOID11433"
"sciatic neuropathy"	"DOID11446"
"allergic cutaneous vasculitis"	"DOID11450"
"allergic cutaneous angiitis"	"DOID11450"
"autoimmune hypersensitivity angiitis"	"DOID11450"
"perinatal jaundice due to hepatocellular damage"	"DOID11452"
"perinatal jaundice due to hepatocellular damage (disorder)"	"DOID11452"
"perinatal jaundice due to hepatocellular damage nos (disorder)"	"DOID11452"
"brain compression"	"DOID11457"
"compression of brain"	"DOID11457"
"compression of brain (disorder)"	"DOID11457"
"compression of brain nos (disorder)"	"DOID11457"
"pseudotumor cerebri"	"DOID11459"
"benign intracran. hypt."	"DOID11459"
"benign intracran. hypt."	"DOID11459"
"benign intracranial hypertension"	"DOID11459"
"benign intracranial hypertension (disorder)"	"DOID11459"
"idiopathic intracranial hypertension"	"DOID11459"
"pseudotumor cerebri"	"DOID11459"
"autonomic nervous system disease"	"DOID11465"
"autonomic nervous system disorder"	"DOID11465"
"subglottis cancer"	"DOID11472"
"ca larynx - subglottis"	"DOID11472"
"ca larynx - subglottis (disorder)"	"DOID11472"
"malignant subglottic tumor"	"DOID11472"
"malignant tumor of subglottis (disorder)"	"DOID11472"
"osteoporosis"	"DOID11476"
"polydactyly"	"DOID1148"
"postaxial polydactyly"	"DOID1148"
"constrictive pericarditis"	"DOID11481"
"constrictive pericarditis"	"DOID11481"
"constrictive pericarditis"	"DOID11481"
"constrictive pericarditis (disorder)"	"DOID11481"
"constrictive pericarditis nos (disorder)"	"DOID11481"
"hemopericardium"	"DOID11482"
"haemopericardium"	"DOID11482"
"horner's syndrome"	"DOID11486"
"bernard horner syndrome"	"DOID11486"
"cervical sympathetic paralysis"	"DOID11486"
"horner syndrome"	"DOID11486"
"idiopathic peripheral autonomic neuropathy"	"DOID11488"
"idiopathic peripheral autonomic neuropathy (disorder)"	"DOID11488"
"idiopathic peripheral autonomic neuropathy nos (disorder)"	"DOID11488"
"acquired night blindness"	"DOID11491"
"acquired night blindness (disorder)"	"DOID11491"
"cardiac tamponade"	"DOID115"
"pericardial tamponade"	"DOID115"
"rose's tamponade"	"DOID115"
"mitral valve insufficiency"	"DOID11502"
"congenital insufficiency of mitral valve (disorder)"	"DOID11502"
"congenital mitral insufficiency"	"DOID11502"
"congenital mitral regurgitation"	"DOID11502"
"mitral regurgitation"	"DOID11502"
"mitral valve incompetence"	"DOID11502"
"diabetic autonomic neuropathy"	"DOID11503"
"diabetic autonomic neuropathy (disorder)"	"DOID11503"
"autonomic neuropathy"	"DOID11504"
"suppurative otitis media"	"DOID11506"
"otitis media with effusion - purulent"	"DOID11506"
"otitis media with effusion - purulent"	"DOID11506"
"purulent otitis media (disorder)"	"DOID11506"
"purulent otitis media nos"	"DOID11506"
"purulent otitis media nos"	"DOID11506"
"purulent otitis media nos (disorder)"	"DOID11506"
"suppurative and unspecified otitis media"	"DOID11506"
"suppurative and unspecified otitis media (disorder)"	"DOID11506"
"suppurative otitis med."	"DOID11506"
"suppurative otitis media"	"DOID11506"
"suppurative otitis media &/or ([left] or [right]) &/or purulent otitis media"	"DOID11506"
"unspecified suppurative otitis media"	"DOID11506"
"rumination disorder"	"DOID11507"
"psychogenic rumination (disorder)"	"DOID11507"
"hepatic vein thrombosis"	"DOID11512"
"budd-chiari syndrome"	"DOID11512"
"fissured tongue"	"DOID11514"
"congenital fissure of tongue (disorder)"	"DOID11514"
"congenital plicated tongue (disorder)"	"DOID11514"
"fissure of tongue"	"DOID11514"
"fissure of tongue, congenital"	"DOID11514"
"furrowed tongue"	"DOID11514"
"geographic tongue and fissured tongue"	"DOID11514"
"lingua plicata"	"DOID11514"
"plicated tongue"	"DOID11514"
"plicated tongue (disorder)"	"DOID11514"
"scrotal tongue"	"DOID11514"
"tongue, fissured"	"DOID11514"
"hypertensive heart disease"	"DOID11516"
"abnormal pupillary function"	"DOID11518"
"benign hypertensive renal disease"	"DOID11520"
"benign hypertensive renal disease (disorder)"	"DOID11520"
"hypertensive renal disease, benign"	"DOID11520"
"hypertensive renal disease, benign, without mention of renal failure"	"DOID11520"
"laryngostenosis"	"DOID11527"
"stenosis of larynx"	"DOID11527"
"stenosis of larynx"	"DOID11527"
"stenosis of larynx (disorder)"	"DOID11527"
"recurrent corneal erosion"	"DOID11541"
"recurrent erosion of cornea"	"DOID11541"
"recurrent erosion syndrome"	"DOID11541"
"corneal abscess"	"DOID11543"
"corneal abscess"	"DOID11543"
"corneal abscess (disorder)"	"DOID11543"
"corneal deposit"	"DOID11547"
"corneal deposit (disorder)"	"DOID11547"
"corneal deposit, unspecified"	"DOID11547"
"deposits - cornea"	"DOID11547"
"unspecified corneal deposit (disorder)"	"DOID11547"
"adie syndrome"	"DOID11549"
"adie's pupil or syndrome"	"DOID11549"
"adie's pupil syndrome"	"DOID11549"
"adie's syndrome"	"DOID11549"
"holmes-adie syndrome"	"DOID11549"
"oculomotor nerve paralysis"	"DOID11550"
"iii nerve palsy"	"DOID11550"
"iii nerve palsy"	"DOID11550"
"iiird nerve paralysis"	"DOID11550"
"third cranial nerve paralysis, nos"	"DOID11550"
"bowman's membrane folds or rupture"	"DOID11552"
"bowman membrane folds or rupture"	"DOID11552"
"chandler syndrome"	"DOID11554"
"chandler syndrome (disorder)"	"DOID11554"
"chandler's syndrome (disorder)"	"DOID11554"
"dystrophy of corneal endothelium"	"DOID11554"
"endothelial corneal dystrophy"	"DOID11554"
"endothelial corneal dystrophy (disorder) [ambiguous]"	"DOID11554"
"posterior membrane corneal dystrophy (disorder)"	"DOID11554"
"fuchs' endothelial dystrophy"	"DOID11555"
"fced"	"DOID11555"
"fuchs' corneal dystrophy"	"DOID11555"
"fuchs' endothelial corneal dystrophy"	"DOID11555"
"acute serous otitis media"	"DOID11557"
"acute non-suppurative otitis media - serous (disorder)"	"DOID11557"
"acute serous otitis media (disorder) [ambiguous]"	"DOID11557"
"acute allergic serous otitis media"	"DOID11558"
"acute allergic serous otitis media (disorder)"	"DOID11558"
"chondrocalcinosis"	"DOID1156"
"calcium pyrophosphate deposition disease"	"DOID1156"
"pseudogout"	"DOID1156"
"hypertensive retinopathy"	"DOID11561"
"retinal vasculitis"	"DOID11563"
"retinal vasculitis"	"DOID11563"
"retinal vasculitis (disorder)"	"DOID11563"
"retinal vasculitis nos (disorder)"	"DOID11563"
"neurocirculatory asthenia"	"DOID11569"
"cardiovascular malfunction arising from mental factors"	"DOID11569"
"cardiovascular neurosis"	"DOID11569"
"da costa's syndrome"	"DOID11569"
"krishaber's disease"	"DOID11569"
"listeria meningitis"	"DOID11572"
"listeriosis"	"DOID11573"
"infection by listeria monocytogenes"	"DOID11573"
"infection due to listeria monocytogenes (disorder)"	"DOID11573"
"listeria infection"	"DOID11573"
"listeriosis (disorder)"	"DOID11573"
"listeriosis nos (disorder)"	"DOID11573"
"listeriosis, unspecified (disorder)"	"DOID11573"
"streptococcal meningitis"	"DOID11574"
"streptococcal meningitis (disorder)"	"DOID11574"
"cauda equina syndrome"	"DOID11577"
"phlyctenulosis"	"DOID11581"
"phlyctenular keratoconjunctivitis"	"DOID11581"
"phlyctenular keratoconjunctivitis"	"DOID11581"
"strumous ophthalmia"	"DOID11581"
"riley-day syndrome"	"DOID11589"
"familial autonomic nervous dysfunction"	"DOID11589"
"familial dysautonomia"	"DOID11589"
"hsan iii"	"DOID11589"
"functional gastric disease"	"DOID1159"
"bladder lateral wall cancer"	"DOID11593"
"lateral wall of bladder"	"DOID11593"
"malignant neoplasm of lateral wall of urinary bladder"	"DOID11593"
"malignant neoplasm of lateral wall of urinary bladder"	"DOID11593"
"malignant neoplasm of lateral wall of urinary bladder (disorder)"	"DOID11593"
"ring staphyloma"	"DOID11594"
"ring staphyloma (disorder)"	"DOID11594"
"scleral staphyloma"	"DOID11595"
"scleral ectasia"	"DOID11595"
"scleral staphyloma (disorder)"	"DOID11595"
"frey syndrome"	"DOID11599"
"baillarger syndrome"	"DOID11599"
"gustatory hyperhidrosis (disorder)"	"DOID11599"
"gustatory sweating"	"DOID11599"
"gustatory sweating (finding)"	"DOID11599"
"pericardium cancer"	"DOID116"
"malignant neoplasm of pericardium"	"DOID116"
"malignant tumor of pericardium"	"DOID116"
"pericardial tumor"	"DOID116"
"infant gynecomastia"	"DOID11603"
"breast engorgement in newborn"	"DOID11603"
"breast engorgement in newborn (disorder)"	"DOID11603"
"neonatal gynaecomastia"	"DOID11603"
"fungal meningitis"	"DOID11608"
"fungal meningitis (disorder)"	"DOID11608"
"polycystic ovary syndrome"	"DOID11612"
"multicystic ovaries"	"DOID11612"
"multicystic ovaries"	"DOID11612"
"pcos"	"DOID11612"
"polycystic ovarian disease"	"DOID11612"
"polycystic ovaries"	"DOID11612"
"polycystic ovaries (disorder)"	"DOID11612"
"polycystic ovary"	"DOID11612"
"polycystic ovary syndrome"	"DOID11612"
"stein-leventhal synd."	"DOID11612"
"stein-leventhal synd."	"DOID11612"
"stein-leventhal syndrome"	"DOID11612"
"stein-leventhal syndrome"	"DOID11612"
"hyperandrogenism"	"DOID11613"
"hyperandrogenization syndrome"	"DOID11613"
"penile cancer"	"DOID11615"
"ca penis"	"DOID11615"
"ca penis (disorder)"	"DOID11615"
"malignant neoplasm of body of penis"	"DOID11615"
"malignant neoplasm of penis, part unspecified"	"DOID11615"
"malignant neoplasm of penis, part unspecified (disorder)"	"DOID11615"
"malignant penile tumor"	"DOID11615"
